基因	变异分类	肿瘤类型	亚型	变异等级	证据来源	证据等级	证据类型	临床意义类别	治疗方案	方案描述	文献号	版本号
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Amivantamab-vmjw	NCCN非小细胞肺癌指南提示，Amivantamab-vmjw可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Amivantamab-vmjw	CSCO非小细胞肺癌诊疗指南提示，Amivantamab-vmjw用于EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	FDA	A级	治疗	敏感	Amivantamab-vmjw	FDA批准Amivantamab-vmjw用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Mobocertinib	NCCN非小细胞肺癌指南提示，Mobocertinib可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Mobocertinib	CSCO非小细胞肺癌诊疗指南提示，Mobocertinib用于IV期EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	FDA	A级	治疗	敏感	Mobocertinib	FDA批准Mobocertinib可用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
ALK	ALK Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿来替尼	NCCN非小细胞肺癌指南提示，阿来替尼可用于ALK重排阳性的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	阿来替尼	CSCO非小细胞肺癌诊疗指南提示，阿来替尼可用于ALK融合阳性的IV期NSCLC的一线治疗(优先推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	阿来替尼	FDA批准阿来替尼用于治疗间变性淋巴瘤激酶(ALK)阳性的转移性非小细胞肺癌(NSCLC)患者。		
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿来替尼	NMPA批准阿来替尼适用于治疗ALK融合基因阳性的转移性非小细胞肺癌。		
ALK	ALK Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	布格替尼	NCCN非小细胞肺癌指南提示，布格替尼可用于ALK重排阳性的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	布格替尼	CSCO非小细胞肺癌诊疗指南提示，布格替尼可用于ALK阳性的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	布格替尼	FDA批准布格替尼用于间变性淋巴瘤激酶(ALK)阳性转移性非小细胞肺癌(NSCLC)成人患者的治疗。		
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	布格替尼	NMPA批准布格替尼适用于治疗ALK融合基因阳性的转移性非小细胞肺癌。		
ALK	ALK Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	洛拉替尼	NCCN非小细胞肺癌指南提示，洛拉替尼可用于ALK重排阳性的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	洛拉替尼	CSCO非小细胞肺癌诊疗指南提示，洛拉替尼可用于ALK阳性的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	洛拉替尼	FDA批准洛拉替尼用于间变性淋巴瘤激酶(ALK)阳性的转移性非小细胞肺癌(NSCLC)的成人患者治疗。		
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	洛拉替尼	NMPA批准洛拉替尼用于治疗ALK阳性的局部晚期或转移性非小细胞肺癌。		
ALK	ALK Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	塞瑞替尼	NCCN非小细胞肺癌指南提示，塞瑞替尼可用于ALK重排阳性的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	塞瑞替尼	CSCO非小细胞肺癌诊疗指南提示，塞瑞替尼可用于IV期ALK阳性的NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	塞瑞替尼	NMPA批准塞瑞替尼用于治疗ALK阳性的局部晚期或转移性非小细胞肺癌。		
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	塞瑞替尼	NMPA批准塞瑞替尼适用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的间变性淋巴瘤激酶(ALK)阳性的局部晚期或转移性非小细胞肺癌(NSCLC)患者。		
ALK	ALK Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	克唑替尼	NCCN非小细胞肺癌指南提示，克唑替尼可用于ALK重排阳性的转移性NSCLC患者(特殊情况下)。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	克唑替尼	CSCO非小细胞肺癌诊疗指南提示，克唑替尼可用于IV期ALK阳性的NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	克唑替尼	FDA批准克唑替尼用于间变性淋巴瘤激酶（ALK）阳性或ROS1阳性的转移性非小细胞肺癌（NSCLC）的治疗。		
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	克唑替尼	NMPA批准克唑替尼用于ALK阳性的晚期非小细胞肺癌（NSCLC）患者的治疗。		
ALK	ALK Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	恩沙替尼	CSCO非小细胞肺癌诊疗指南提示，恩沙替尼可用于IV期ALK阳性的NSCLC的融合靶向后线治疗。	CSCO非小细胞肺癌诊疗指南	2022
ALK	ALK Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	恩沙替尼	2020年NMPA批准恩沙替尼用于此前接受过克唑替尼治疗后进展的或者对克唑替尼不耐受的ALK阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。2022年NMPA批准恩沙替尼用于ALK阳性的非小细胞肺癌（NSCLC）一线治疗。		
ALK	ALK G1202R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	洛拉替尼	NCCN非小细胞肺癌指南提示，洛拉替尼可用于ALK重排阳性接受阿来替尼、布格替尼、塞瑞替尼、劳拉替尼治疗进展且伴有ALK G1202R的晚期或转移性非小细胞肺癌后续治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	entrectinib	NCCN非小细胞肺癌指南提示，entrectinib可用于ROS1融合阳性的晚期或转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	entrectinib	CSCO非小细胞肺癌诊疗指南提示，entrectinib可用于IV期ROS1阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	entrectinib	FDA批准entrectinib可用于ROS1阳性的转移性非小细胞肺癌(NSCLC) 成人患者。		2019
ROS1	ROS1 Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	克唑替尼	NCCN非小细胞肺癌指南提示，克唑替尼可用于ROS1融合阳性的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	克唑替尼	CSCO非小细胞肺癌诊疗指南提示，克唑替尼可用于IV期ROS1阳性的NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	克唑替尼	FDA批准克唑替尼用于间变性淋巴瘤激酶（ALK）阳性或ROS1阳性的转移性非小细胞肺癌（NSCLC）的治疗。		
ROS1	ROS1 Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	克唑替尼	NMPA批准克唑替尼用于ROS1阳性的晚期非小细胞肺癌（NSCLC）患者的治疗。		
ROS1	ROS1 Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	塞瑞替尼	NCCN非小细胞肺癌指南提示，塞瑞替尼可用于ROS1融合阳性的转移性NSCLC患者（某些情况下）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ROS1	ROS1 Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	洛拉替尼	NCCN非小细胞肺癌指南提示，洛拉替尼可用于ROS1融合阳性接受entrectinib、克唑替尼或塞瑞替尼后进展的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
RET	RET Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	selpercatinib	NCCN非小细胞肺癌指南提示，selpercatinib可用于RET重排阳性的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
RET	RET Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	selpercatinib	FDA批准selpercatinib可用于RET融合阳性的转移性非小细胞肺癌(NSCLC)成人患者的治疗。		
RET	RET Fusion	非小细胞肺癌		I	CSCO	A级	治疗	敏感	selpercatinib	CSCO非小细胞肺癌诊疗指南提示，selpercatinib可用于IV期RET融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
RET	RET Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	普拉替尼	NCCN非小细胞肺癌指南提示，普拉替尼可用于RET重排阳性的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
RET	RET Fusion	非小细胞肺癌		I	FDA	A级	治疗	敏感	普拉替尼	FDA批准普拉替尼可用于重排转染(RET)融合阳性转移性非小细胞肺癌(NSCLC)成年的患者。		
RET	RET Fusion	非小细胞肺癌		I	NMPA	A级	治疗	敏感	普拉替尼	NMPA批准普拉替尼用于既往接受过含铂化疗的转染重排（RET）基因融合阳性的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的治疗。		
RET	RET Fusion	非小细胞肺癌		I	NCCN	A级	治疗	敏感	卡博替尼	NCCN非小细胞肺癌指南提示，卡博替尼可用于RET重排阳性的转移性NSCLC患者的一线治疗（在某些情况下）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	拉罗替尼	NCCN非小细胞肺癌指南提示，拉罗替尼可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	拉罗替尼	CSCO非小细胞肺癌诊疗指南提示，拉罗替尼可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	拉罗替尼	FDA批准拉罗替尼用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	NMPA	A级	治疗	敏感	拉罗替尼	NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	entrectinib	NCCN非小细胞肺癌指南提示，entrectinib可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	entrectinib	FDA批准entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		2019
NTRK1	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	entrectinib	CSCO非小细胞肺癌诊疗指南提示，entrectinib可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	拉罗替尼	NCCN非小细胞肺癌指南提示，拉罗替尼可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者的一线治疗。		
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	拉罗替尼	CSCO非小细胞肺癌诊疗指南提示，拉罗替尼可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	拉罗替尼	FDA批准拉罗替尼用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	NMPA	A级	治疗	敏感	拉罗替尼	NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	entrectinib	NCCN非小细胞肺癌指南提示，entrectinib可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者。		
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	entrectinib	FDA批准entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK2	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	entrectinib	CSCO非小细胞肺癌诊疗指南提示，entrectinib可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	拉罗替尼	NCCN非小细胞肺癌指南提示，拉罗替尼可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者的一线治疗。		
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	拉罗替尼	CSCO非小细胞肺癌诊疗指南提示，拉罗替尼可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	拉罗替尼	FDA批准拉罗替尼用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	NMPA	A级	治疗	敏感	拉罗替尼	NMPA批准拉罗替尼用于治疗经充分验证的检测方法诊断为NTRK基因融合且无已知获得性耐药突变，局部晚期、转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	NCCN	A级	治疗	敏感	entrectinib	NCCN非小细胞肺癌指南提示，entrectinib可用于NTRK1/2/3基因融合阳性的转移性NSCLC患者的一线治疗。		
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	FDA	A级	治疗	敏感	entrectinib	FDA批准entrectinib用于治疗携带NTRK基因融合且无已知获得性耐药突变，转移性或手术切除可能导致严重并发症，没有令人满意替代治疗方案或既往治疗失败的泛实体瘤成人和儿童患者。		
NTRK3	NTRK1/2/3 Fusion	实体瘤		I	CSCO	A级	治疗	敏感	entrectinib	CSCO非小细胞肺癌诊疗指南提示，entrectinib可用于IV期NTRK1/2/3融合阳性的NSCLC的一线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
BRAF	BRAF V600E	非小细胞肺癌		I	CSCO	A级	治疗	敏感	达拉非尼+曲美替尼	CSCO非小细胞肺癌诊疗指南提示，达拉非尼+曲美替尼联合治疗可用于IV期BRAF V600E突变的NSCLC的一线治疗(II级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
BRAF	BRAF V600E	非小细胞肺癌		I	FDA	A级	治疗	敏感	达拉非尼+曲美替尼	FDA批准达拉非尼+曲美替尼联合治疗用于BRAF V600E突变的转移性非小细胞肺癌(NSCLC)患者的治疗。		
BRAF	BRAF V600E	非小细胞肺癌		I	NMPA	A级	治疗	敏感	达拉非尼+曲美替尼	NMPA批准达拉非尼联合曲美替尼用于治疗BRAF V600突变阳性转移性非小细胞肺癌。		
BRAF	BRAF V600E	非小细胞肺癌		I	NCCN	A级	治疗	敏感	维莫非尼	NCCN非小细胞肺癌指南提示，如果患者对达拉非尼+曲美替尼联合治疗不耐受，维莫非尼单药、达拉非尼单药治疗可作为治疗选择。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
BRAF	BRAF V600E	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达拉非尼	NCCN非小细胞肺癌指南提示，如果患者对达拉非尼+曲美替尼联合治疗不耐受，维莫非尼单药、达拉非尼单药治疗可作为治疗选择。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
KRAS	KRAS G12C	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Sotorasib	NCCN非小细胞肺癌指南提示，sotorasib可用于携带KRAS G12C突变且既往接受过至少1种全身治疗后耐药的非小细胞肺癌患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
KRAS	KRAS G12C	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Sotorasib	CSCO非小细胞肺癌诊疗指南提示，sotorasib可用于IV期KRAS G12C突变的NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
KRAS	KRAS G12C	非小细胞肺癌		I	FDA	A级	治疗	敏感	Sotorasib	FDA批准Sotorasib适用于接受过至少一次全身治疗的KRAS G12C突变的局部晚期或转移性非小细胞肺癌(NSCLC)成人患者的治疗。		
MET	MET exon 14 skipping	非小细胞肺癌		I	CSCO	A级	治疗	敏感	赛沃替尼	CSCO非小细胞肺癌诊疗指南提示，赛沃替尼可用于一线未用靶向治疗的IV期MET 14外显子跳跃突变的NSCLC的后线治疗(II级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
MET	MET exon 14 skipping	非小细胞肺癌		I	NMPA	A级	治疗	敏感	赛沃替尼	NMPA批准赛沃替尼用于含铂化疗后疾病进展或不耐受标准含铂化疗的携带MET第14号外显子跳跃的局部晚期或转移性非小细胞肺癌成人患者。		
MET	MET exon 14 skipping	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Capmatinib	NCCN非小细胞肺癌指南提示，Capmatinib可用于携带MET第14号外显子跳跃的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
MET	MET exon 14 skipping	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Capmatinib	CSCO非小细胞肺癌诊疗指南提示，Capmatinib可用于IV期携带于MET第14号外显子跳跃的NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
MET	MET exon 14 skipping	非小细胞肺癌		I	FDA	A级	治疗	敏感	Capmatinib	FDA批准Capmatinib适用于携带导致间充质上皮转变(MET)外显子14跳跃突变的转移性非小细胞肺癌(NSCLC)成人患者的治疗。		
MET	MET exon 14 skipping	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Tepotinib	NCCN非小细胞肺癌指南提示，Tepotinib可用于携带MET第14号外显子跳跃的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
MET	MET exon 14 skipping	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Tepotinib	CSCO非小细胞肺癌诊疗指南提示，Tepotinib可用于IV期携带于MET第14号外显子跳跃的NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
MET	MET exon 14 skipping	非小细胞肺癌		I	FDA	A级	治疗	敏感	Tepotinib	FDA批准Tepotinib用于具有间充质-上皮细胞转变(MET)外显子14跳跃改变的转移性非小细胞肺癌(NSCLC)成人患者的治疗。		
MET	MET exon 14 skipping	非小细胞肺癌		I	NCCN	A级	治疗	敏感	克唑替尼	NCCN非小细胞肺癌指南提示，克唑替尼可用于携带MET第14号外显子跳跃的转移性NSCLC患者的一线治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
MET	MET High level amplification	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Capmatinib	NCCN非小细胞肺癌指南提示，Capmatinib可用于MET高水平扩增的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
MET	MET High level amplification	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Tepotinib	NCCN非小细胞肺癌指南提示，Tepotinib可用于MET高水平扩增的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
MET	MET High level amplification	非小细胞肺癌		I	NCCN	A级	治疗	敏感	克唑替尼	NCCN非小细胞肺癌指南提示，克唑替尼可用于MET高水平扩增的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ERBB2	ERBB2 Mutation	非小细胞肺癌		I	NCCN	A级	治疗	敏感	恩美曲妥珠单抗	NCCN非小细胞肺癌指南提示，恩美曲妥珠单抗可用于携带ERBB2突变的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ERBB2	ERBB2 Mutation	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Fam-trastuzumab deruxtecan-nxki	NCCN非小细胞肺癌指南提示，Fam-trastuzumab deruxtecan-nxki可用于携带ERBB2突变的转移性NSCLC患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
ERBB2	ERBB2 Mutation	非小细胞肺癌		I	CSCO	A级	治疗	敏感	吡咯替尼	CSCO非小细胞肺癌诊疗指南提示，吡咯替尼可用于携带ERBB2突变的IV期NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR T790M	非小细胞肺癌		I	NCCN	A级	治疗	耐药	厄洛替尼	NCCN非小细胞肺癌指南提示，EGFR T790M突变是非小细胞肺癌接受第一代第二代EGFR TKI后的获得性耐药突变。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR T790M	非小细胞肺癌		I	NCCN	A级	治疗	耐药	吉非替尼	NCCN非小细胞肺癌指南提示，EGFR T790M突变是非小细胞肺癌接受第一代第二代EGFR TKI后的获得性耐药突变。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR T790M	非小细胞肺癌		I	NCCN	A级	治疗	耐药	阿法替尼	NCCN非小细胞肺癌指南提示，EGFR T790M突变是非小细胞肺癌接受第一代第二代EGFR TKI后的获得性耐药突变。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR T790M	非小细胞肺癌		I	NCCN	B级	治疗	耐药	达可替尼	NCCN非小细胞肺癌指南提示，EGFR T790M突变是非小细胞肺癌接受第一代第二代EGFR TKI后的获得性耐药突变。		
EGFR	EGFR T790M	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，对于接受厄洛替尼、吉非替尼、阿法替尼或达可替尼治疗进展的EGFR T790M阳性的转移性NSCLC患者，推荐使用奥希替尼作为二线和后续治疗。		
EGFR	EGFR T790M	非小细胞肺癌		I	FDA	A级	治疗	敏感	奥希替尼	FDA批准奥希替尼用于EGFR TKI治疗期间或之后疾病进展EGFR T790M突变阳性的转移性非小细胞肺癌的成人患者的治疗。		
EGFR	EGFR T790M	非小细胞肺癌		I	CSCO	A级	治疗	敏感	奥希替尼	CSCO非小细胞肺癌诊疗指南提示，奥希替尼可用于IV期EGFR敏感突变NSCLC患者耐药后EGFR T790M阳性的治疗。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR T790M	非小细胞肺癌		I	NMPA	A级	治疗	敏感	伏美替尼	NMPA批准伏美替尼用于既往经表皮生长因子受体(EGFR)酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性非小细胞性肺癌(NSCLC)成人患者的治疗。		
EGFR	EGFR T790M	非小细胞肺癌		I	CSCO	A级	治疗	敏感	伏美替尼	CSCO非小细胞肺癌诊疗指南提示，伏美替尼可用于IV期EGFR敏感突变NSCLC患者耐药后EGFR T790M阳性的治疗。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR T790M	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿美替尼	NMPA批准阿美替尼用于限既往因表皮生长因子受体（EGFR）酪氨酸激酶抑制剂（TKI）治疗时或治疗后出现疾病进展，并且经检验确认存在EGFR T790M 突变阳性的局部晚期或转移性非小细胞肺癌成人患者。		
EGFR	EGFR T790M	非小细胞肺癌		I	CSCO	A级	治疗	敏感	阿美替尼	CSCO非小细胞肺癌诊疗指南提示，阿美替尼可用于IV期EGFR敏感突变NSCLC患者耐药后EGFR T790M阳性的治疗。	CSCO非小细胞肺癌诊疗指南	2022
