#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
心血管系统异常,骨骼系统异常	HP:0004940	Generalized arterial calcification	`Calcification` (PATO:0001447), that is, pathological deposition of calcium salts, affecting arteries distributed throughout the body.	周身动脉钙化	全身动脉的钙化（PATO:0001447），即病理性钙盐沉积。
心血管系统异常,消化系统异常	HP:0004941	Extrahepatic portal hypertension	`Increased pressure` (PATO:0001576) in the `pre-hepatic portal vein` (FMA:71904).	肝外性门脉高压	`肝前门静脉的压力增高。
心血管系统异常	HP:0004942	Aortic aneurysm	An aortic aneurysm is enlargement (dilation) of the aorta to greater than 1.5 times normal size. They usually cause no symptoms except when ruptured. Occasionally there may be abdominal, back or leg pain.	主动脉瘤	主动脉扩大1.5倍形成主动脉瘤，通常不表现症状，除非破裂。偶尔出现腹部、背部或腿部疼痛。
心血管系统异常	HP:0004943	Accelerated atherosclerosis	Atherosclerosis is accelerated.	加速性动脉粥样硬化	动脉粥样硬化的进程被加快。
神经系统异常,心血管系统异常	HP:0004944	Cerebral aneurysm	The presence of a localized dilatation or ballooning of a cerebral artery.	脑动脉瘤	大脑动脉出现的局部扩张或气球样膨胀。
心血管系统异常	HP:0004945	Extracranial internal carotid artery dissection	A separation (dissection) of the layers of the extracranial portion of the `internal carotid artery` (FMA:3947) wall.	颅外颈内动脉夹层	“颈内动脉”（FMA :3947）的颅外部分发生夹层（内膜撕裂血液进入到中膜）。
心血管系统异常	HP:0004947	Arteriovenous fistula	An arteriovenous fistula is an abnormal connection or passageway between an artery and a vein. It may be congenital, surgically created for hemodialysis treatments, or acquired due to pathologic process, such as trauma or erosion of an arterial aneurysm.	动静脉瘘	动静脉瘘是动脉与静脉之间的异常连接或通道，可能是先天性的，也可能是血液透析外科手术或动脉瘤的病变引起的。
心血管系统异常	HP:0004948	Vascular tortuosity	Circuityof the vascular.	血管迂曲	血管迂曲。
心血管系统异常	HP:0004950	Peripheral arterial disease	General or unspecified diseases of the blood vessels outside the heart or brain.	外周动脉病	心脏和脑以外的血管发生的病变。
心血管系统异常	HP:0004952	Pulmonary arteriovenous fistulas	An pulmonary arteriovenous fistula is an abnormal connection or passageway between pulmonary artery and pulmonary vein.	肺动静脉瘘	肺动静脉瘘是在肺动脉和肺静脉之间的异常连接和传输。
心血管系统异常	HP:0004953	Abdominal aortic aneurysm	A localized enlargement of the abdominal aorta such that the diameter is greater than 3 cm or more than 50% larger than normal.	腹主动脉瘤	腹主动脉局部膨大，直径超过3cm或超过正常人的50%。
心血管系统异常	HP:0004954	Descending aortic aneurysm	A bulging, weakened area in the wall of the descending thoracic aorta.	降主动脉瘤	降主动脉壁的凸起或变薄区域。
心血管系统异常	HP:0004955	Generalized arterial tortuosity	Abnormal tortuous (i.e., twisted) form of arteries affecting most or all arteries.	周身动脉迂曲	全身大部分或全部动脉血管发生扭曲。
心血管系统异常	HP:0004959	Dilatation of the descending thoracic aorta	The diameter of the descending thoracic aorta is larger than normal.	胸降主动脉扩张	胸降主动脉的直径增大。
心血管系统异常,呼吸系统异常	HP:0004960	Absent pulmonary artery	A congenital defect with aplasia (absence) of one of the right or left pulmonary artery.	肺动脉缺失	左肺动脉或右肺动脉的先天缺失（不发育）。
心血管系统异常,呼吸系统异常	HP:0004961	Pulmonary artery sling	An anomalous origin of the left pulmonary artery, such that it arises from the posterior aspect of the right pulmonary artery and passes between the trachea and esophagus to reach the left hilum.	肺动脉吊带	是指左肺动脉异常起源于右肺动脉的后方，呈半环形跨过右主支气管向左穿行于食道前和气管后到达左肺门。
心血管系统异常,骨骼系统异常	HP:0004962	Thoracic aorta calcification	`Calcification` (PATO:0001447), that is, pathological deposition of calcium salts in the `thoracic aorta` (FMA:3786).	胸主动脉钙化	胸主动脉(FMA:3786)发生钙化(PATO:0001447)，即钙盐的病理性沉积。
心血管系统异常,骨骼系统异常	HP:0004963	Calcification of the aorta	`Calcification` (PATO:0001447), that is, pathological deposition of calcium salts in the `aorta` (FMA:3734).	主动脉钙化	主动脉（FMA:3734）的钙化（PATO:0001447），即钙盐的病理沉积。
心血管系统异常,呼吸系统异常	HP:0004964	Pulmonary arterial medial hypertrophy	Increase in mass of the tunica media of the arteries in the pulmonary circulation.	肺动脉中膜肥厚	肺循环动脉血管中膜变厚。
心血管系统异常,骨骼系统异常	HP:0004966	Medial calcification of large arteries	`Calcification` (PATO:0001447), that is, pathological deposition of calcium salts in the tunica media of large (conduit) arteries.	大动脉中层钙化	大（导管）血管中膜的钙化（PATO:0001447），即钙盐的病理沉积。
神经系统异常,血液和造血组织异常,心血管系统异常	HP:0004968	Recurrent cerebral hemorrhage	Recurrent bleeding into the parenchyma of the brain.	复发性脑出血	脑实质的反复出血。
心血管系统异常,呼吸系统异常	HP:0004969	Peripheral pulmonary artery stenosis	Stenosis of a peripheral branch of the pulmonary artery.	周围肺动脉狭窄	肺动脉外围分支的狭窄。
心血管系统异常	HP:0004970	Ascending aortic dilation	Ascending aortic enlarge to greater than normal size.	升主动脉扩张	升主动脉膨大直径超过正常。
心血管系统异常,呼吸系统异常	HP:0004971	Pulmonary artery hypoplasia	Underdevelopment of the pulmonary artery.	肺动脉发育不全	肺动脉未发育完全。
心血管系统异常	HP:0004972	Elevated mean arterial pressure	Abnormal increase in mean arterial pressure ,which is defined as the average arterial pressure during a single cardiac cycle.	平均动脉压升高	平均动脉压是指一个心动周期中动脉血压的平均值。该值高于正常人群范围值，即平均动脉压升高。
心血管系统异常	HP:0004974	Coarctation of abdominal aorta	Coarctation of the aorta is a narrowing or constriction of a segment of the abdominal aorta.	腹主动脉缩窄	腹主动脉狭窄或收缩。
肢体异常,骨骼系统异常	HP:0004975	Erlenmeyer flask deformity of the femurs	Flaring of distal  `femur` (FMA:9611).	股骨锥形瓶状变形	`股骨`（FMA:9611）远端扁平。
肢体异常,骨骼系统异常	HP:0004976	Knee dislocation	#####	膝关节脱位	#####
肢体异常,骨骼系统异常	HP:0004977	Bilateral radial aplasia	Missing radius bone on both sides associated with congenital failure of development.	双侧桡骨发育缺陷	双侧桡骨缺如，与先天性发育缺陷有关。
肢体异常,骨骼系统异常	HP:0004979	Metaphyseal sclerosis	Abnormally increased density of metaphyseal bone.	干骺端硬化	骨干骺端的密度异常增高。
肢体异常,骨骼系统异常	HP:0004980	Metaphyseal rarefaction	Reduction in density of metaphyseal bony tissue.	干骺端疏松	干骺端骨组织的密度减少。
肢体异常,骨骼系统异常	HP:0004981	prominent ulnar styloid process	#####	突出的尺骨茎突	#####
	HP:0004986	Rudimentary to absent fibulae	Absent or nearly absent fibula.	退行性腓骨退化到缺如	不存在或几乎不存在腓骨。
肢体异常,骨骼系统异常	HP:0004987	Mesomelic leg shortening	Shortening of the middle parts of the leg in relation to the upper and terminal segments.	肢中腿缩短	相比于上段和末段，腿的中间部分缩短。
骨骼系统异常	HP:0004990	Epiphyseal streaking	#####	骨骺条纹变	#####
生长异常,肢体异常,骨骼系统异常	HP:0004991	Rhizomelic arm shortening	Disproportionate shortening of the proximal segment of the arm (i.e. the humerus).	肢根型手臂缩短	近端手臂（即肱骨）不成比例的缩短。
骨骼系统异常	HP:0004993	Slender long bones with narrow diaphyses	Reduced diameter of a `long bone` (FMA:7474) with a more pronounced reduction of the diameter of the diaphysis of the long bones.	长骨细长伴骨干狭窄	`长骨`（7474 FMA）直径下降，尤其是骨干直径显著减小。
肢体异常,骨骼系统异常	HP:0004997	Multicentric ossification of proximal humeral epiphyses	#####	肱骨近端骨骺多中心骨化	#####
肢体异常,骨骼系统异常	HP:0005001	Recurrent patellar dislocation	Patellar dislocation occuring repeated times.	复发性髌骨脱位	髌骨脱位反复多次发生。
肢体异常,骨骼系统异常	HP:0005003	aplasia/Hypoplasia of the capital femoral epiphysis	Absence or underdevelopment of the `proximal epiphysis of the femur` (FMA:32841).	股骨头骨骺发育不全或发育低下	股骨`的`近端骨骺（FMA:32841）发育不良或缺如。
肢体异常,骨骼系统异常	HP:0005004	Flattened proximal radial epiphyses	An abnormally flat form of the proximal epiphysis of the radius.	扁平近端桡骨骨骺	桡骨的近端骨骺形态异常扁平。
肢体异常,骨骼系统异常	HP:0005005	Femoral bowing present at birth, straightening with time	Congenital onset bending or abnormal curvature of the `femur` (FMA:9611) that normalizes with age.	出生时股骨有弯曲，随年龄增长而变直	先天性发病的`股骨`（FMA:9611）异常弯曲，随着年龄逐渐正常。
骨骼系统异常	HP:0005008	Large joint dislocations	#####	大关节脱位	#####
肢体异常,骨骼系统异常	HP:0005009	Dumbbell-shaped humerus	The `humerus` (FMA:13303) is shortened and displays flaring (widening) of the metaphyses.	哑铃状肱骨	`肱骨`（FMA:13303）缩短，干骺端扁平（增宽）。
骨骼系统异常,免疫系统异常	HP:0005010	osteomyelitis leading to amputation due to slow healing fractures	#####	因骨折愈合缓慢导致截肢的骨髓炎	#####
肢体异常,骨骼系统异常	HP:0005011	Mesomelic arm shortening	Shortening of the middle parts of the arm in relation to the upper and terminal segments.	肢中臂缩短	相对于上段和末段，上臂的中间部分缩短。
肢体异常,骨骼系统异常	HP:0005013	Dysplastic distal radial epiphyses	Abnormally developed (dysplastic) distal epiphysis of the radius.	桡骨远端骨骺发育不良	异常发达（不典型增生）的桡骨远端骨骺。
结缔组织异常,骨骼系统异常	HP:0005017	polyarticular chondrocalcinosis	#####	多关节软骨钙质沉着病	#####
骨骼系统异常	HP:0005019	Diaphyseal thickening	#####	骨干增粗	#####
肢体异常,骨骼系统异常	HP:0005021	Bilateral elbow dislocations	#####	双侧肘关节脱臼	#####
肢体异常,骨骼系统异常	HP:0005025	Hypoplastic distal humeri	Underdevelopment of the distal portion of the humerus.	远端肱骨发育低下	肱骨远端部分发育不良。
生长异常,肢体异常,骨骼系统异常	HP:0005026	mesomelic/rhizomelic limb shortening	#####	肢体中部/根部肢体短缩	#####
肢体异常,骨骼系统异常	HP:0005028	Widened proximal tibial metaphyses	#####	胫骨近端干骺端增宽	#####
肢体异常,骨骼系统异常	HP:0005033	Distal ulnar hypoplasia	Underdevelopment of the distal portion of the ulna.	尺骨远端发育不良	尺骨远端部分发育不良。
肢体异常,骨骼系统异常	HP:0005035	Shortening of all phalanges of the toes	Developmental hypoplasia (shortening) of all phalanges of the foot.	趾骨缩短	脚的所有趾骨发育不全（缩短）。
肢体异常,骨骼系统异常	HP:0005036	Unilateral ulnar hypoplasia	Underdevelopment of the ulna on only one side.	单侧尺发育不良	仅一侧尺骨发育不良。
肢体异常,骨骼系统异常	HP:0005037	Proximal radio-ulnar synostosis	An abnormal osseous union (fusion) between the proximal portions of the radius and the ulna.	近端桡尺骨性愈合	桡骨和尺骨的近端部分之间异常的骨愈合（融合）。
肿瘤,骨骼系统异常	HP:0005039	Multiple long-bone exostoses	Multiple exostoses originating in long bones.	多发长骨外生骨疣	原发于长骨的多发性外生骨疣。
肢体异常,骨骼系统异常	HP:0005041	Irregular capital femoral epiphysis	Irregular surface of the normally relatively smooth capital femoral epiphysis.	不规则股骨头骨骺	正常情况下相对平滑的股骨头骨骺表面呈现不规则形态。
肢体异常,骨骼系统异常	HP:0005042	Irregular, rachitic-like metaphyses	#####	不规则佝偻病样干骺端	#####
肢体异常,骨骼系统异常	HP:0005043	irregular proximal humeral metaphyses	#####	肱骨近端干骺端不规则	#####
骨骼系统异常	HP:0005045	Diaphyseal cortical sclerosis	An elevation in bone density of the cortex of one or more diaphyses. Sclerosis is normally detected on a radiograph as an area of increased opacity.	骨干皮质硬化症	一个或多个骨干皮质骨密度上升。硬化在正常情况下表现为X光片上不透明度增加的区域。
肢体异常,骨骼系统异常	HP:0005048	Synostosis of carpal bones	#####	腕骨的骨性连合	#####
肢体异常,骨骼系统异常	HP:0005050	Anterolateral radial head dislocation	A dislocation of the head of the radius from its socket in the elbow joint in an anterolateral direction.	桡骨头前外侧脱位	桡骨头从肘关节上的球窝中向前外侧方向滑脱。
肢体异常,骨骼系统异常	HP:0005054	Metaphyseal spurs	Bony outgrowths that extend laterally from the margin of the metaphysis.	干骺端马刺	骨生长物从干骺端的边缘向外侧延伸。
骨骼系统异常	HP:0005059	arthralgia/arthritis	#####	关节痛/关节炎	#####
肢体异常,骨骼系统异常	HP:0005060	limited elbow flexion/extension	#####	肘关节屈曲/扩展受限	#####
骨骼系统异常	HP:0005063	Fragmented, irregular epiphyses	#####	不规则、碎裂的骨骺	#####
骨骼系统异常	HP:0005066	Cone-shaped epiphyses fused within their metaphyses	#####	干骺端融合的锥形骨骺	#####
肢体异常,骨骼系统异常	HP:0005067	Proximal fibular overgrowth	Overgrowth of the proximal part of the fibula.	腓骨近端增生	腓骨近端部分过度增生。
肢体异常,骨骼系统异常	HP:0005068	absent styloid processes	#####	茎突缺如	#####
生长异常,肢体异常,骨骼系统异常	HP:0005069	rhizo-meso-acromelic limb shortening	#####	根-干-端型肢体短缩	#####
肢体异常,骨骼系统异常	HP:0005070	Proximal radial head dislocation	A dislocation of the head of the radius from its socket in the elbow joint in an proximal direction.	近端桡骨头脱位	桡骨头从肘关节上的球窝中向近侧方向滑脱。
骨骼系统异常	HP:0005072	Hyperextensibility at wrists	The ability of the wrist joints to move beyond their normal range of motion.	手腕背伸过度	腕关节的运动能力超越其正常范围。
肢体异常,骨骼系统异常	HP:0005084	Anterior radial head dislocation	A dislocation of the head of the radius from its socket in the elbow joint in an anterior direction.	桡骨头前脱位	桡骨头从肘关节上的球窝中向前侧方向滑脱。。
肢体异常,骨骼系统异常	HP:0005085	limited knee flexion/extension	A limited ability of the knee joint extension and flexion.	膝关节屈曲挛缩	膝关节屈伸的能力受限。
肢体异常,骨骼系统异常	HP:0005086	Knee osteoarthritis	#####	膝关节骨性关节炎	#####
肢体异常,骨骼系统异常	HP:0005089	Abnormal metaphyseal trabeculation	An abnormality structure ot form of the pattern of trabecula (small interconnecting rods of bone) in a metaphyseal region of bone.	干骺端小梁异常	骨的干骺端骨小梁（骨的小棒状体）模式异常。
肢体异常,骨骼系统异常	HP:0005090	Lateral femoral bowing	A lateral bending or abnormal curvature of the `femur` (FMA:9611).	股外侧弯曲	`股骨 `（FMA:9611）侧弯或弯曲异常。
肢体异常,骨骼系统异常	HP:0005092	Streaky metaphyseal sclerosis	The presence of streaks (bands) of abnormally increased density of metaphyseal bone.	干骺端条纹样硬化	干骺端发生条纹样（条带）骨密度异常增加。
肢体异常,骨骼系统异常	HP:0005093	Absent proximal radial epiphyses	Absence of the proximal radial epiphysis.	桡骨近端骨骺缺如	桡骨近端骨骺缺如。
肢体异常,骨骼系统异常	HP:0005096	Distal femoral bowing	A bending or abnormal curvature of the distal portion of the `femur` (FMA:9611).	股骨弓形突出	`股骨`（FMA:9611）的远端部分弯曲或曲度异常。
代谢紊乱/稳态失衡,胎儿产前发育或出生异常	HP:0005099	Severe hydrops fetalis	#####	严重的胎儿水肿	#####
胎儿产前发育或出生异常	HP:0005100	premature birth following premature rupture of fetal membranes	#####	胎膜早破引起的胎儿早产	#####
耳部异常	HP:0005101	High-frequency hearing impairment	#####	高频听力障碍	主要以损害高频听力（3000至6000赫兹）为主的“听力障碍”(===HP:0000365===)类型。
耳部异常	HP:0005102	Cochlear degeneration	`Degeneration` (PATO:0002037) of the `cochlea` (FMA:60201).	耳蜗变性	`变性`（PATO: 0002037）的`耳蜗`（FMA: 60201）。
骨骼系统异常,耳部异常	HP:0005103	Calcification of the auricular cartilage	Ossification affecting the `external ear cartilage` (FMA:61339).	耳软骨钙化	`外耳软骨`（FMA: 61339）骨化。
头部和颈部的异常	HP:0005104	Hypoplastic nasal septum	Underdevelopment of the nasal septum.	鼻中隔发育不全	鼻中隔发育不全。
头部和颈部的异常	HP:0005105	Abnormal nasal morphology	#####	鼻形态异常	#####
骨骼系统异常	HP:0005106	Abnormality of the vertebral endplates	Any abnormality of the vertebral end plates, which are the top and bottom portions of the vertebral bodies that interface with the vertebral discs.	椎骨终板异常	椎骨终板（椎体的上下两面，与椎间盘接界）的异常。
骨骼系统异常	HP:0005107	Abnormality of the sacrum	An abnormality of the `sacral bone` (FMA:16202).	骶骨异常	骶骨的异常。
骨骼系统异常	HP:0005108	Abnormality of the intervertebral disk	An abnormality of the `intervertebral disk` (FMA:10446).	椎间盘异常	椎间盘的异常。
肢体异常,骨骼系统异常	HP:0005109	Abnormality of the Achilles tendon	An abnormality of the `Achilles tendon` (FMA:51061).	跟腱的异常	跟腱的异常。
心血管系统异常	HP:0005110	Atrial fibrillation	An atrial arrhythmia characterized by disorganized atrial activity without discrete P waves on the surface EKG, but instead by an undulating baseline or more sharply circumscribed atrial deflections of varying amplitude an frequency ranging from 350 to 600 per minute.	心房纤颤	一种心脏节律异常的疾病，以心房脉冲快速、不规则，不能有效地引起心房收缩为特征。
心血管系统异常	HP:0005111	Dilatation of the ascending aorta	The diameter of the ascending aorta is larger than normal.	升主动脉扩张	升主动脉直径增大。
心血管系统异常	HP:0005112	Dilatation of the abdominal aorta	The diameter of the abdominal aorta is larger than normal.	腹主动脉扩张	腹主动脉直径增大。
心血管系统异常	HP:0005113	Dilatation of the aortic arch	The diameter of the aortic arch is larger than normal.	主动脉弓扩张	主动脉弓的直径增大。
心血管系统异常	HP:0005114	Abnormalities of the peripheral arteries	Abnormality of the arteries other than those that supply the heart or the brain.	外周动脉异常	为心脏和大脑以外其它器官供血的动脉发生异常。
心血管系统异常	HP:0005115	Supraventricular arrhythmia	A type of arrhythmia that originates above the ventricles, whereby the electrical impulse propagates down the normal His Purkinje system similar to normal sinus rhythm.	室上性心律失常	起源于上心室的一种心律失常，从而使电脉冲类似于正常窦性心律传向正常浦肯野系统。
心血管系统异常	HP:0005116	Arterial tortuosity	Abnormal tortuous (i.e., twisted) form of arteries.	动脉迂曲	动脉的异常扭曲。
心血管系统异常	HP:0005117	Elevated diastolic blood pressure	Abnormal increase in diastolic blood pressure.	舒张压升高	舒张压异常增加。
心血管系统异常	HP:0005120	Abnormality of cardiac atrium	An abnormality of a `cardiac atrium` (FMA:7099).	心房异常	心脏心房的异常(FMA:7099)。
骨骼系统异常	HP:0005121	Posterior scalloping of vertebral bodies	An excessive concavity of the posterior surface of one or more vertebral bodies.	椎体后方扇形	一个或多个椎体后表面的过度凹出。
心血管系统异常	HP:0005129	Congenital hypertrophy of left ventricle	A developmental left ventricular hypertrophy with congenital onset.	先天性左心室肥厚	先天性的左心室肥厚。
心血管系统异常	HP:0005130	Restrictive heart failure	#####	限制性心力衰竭	#####
心血管系统异常	HP:0005132	Pericardial constriction	Constriction of pericardium, which is the fibroserous sac surrounding the heart and the roots of the great vessels.	心包缩窄	心包是指包绕在心脏和大血管根部外的心脏纤维浆液性囊状组织，心包的缩窄即细胞缩窄。
心血管系统异常	HP:0005133	Right ventricular dilatation	Enlargement of the chamber of the right ventricle.	右心室扩张	右心室腔扩大。
心血管系统异常	HP:0005134	Absence of the pulmonary valve	Refers to the specific combination of defects with a severely dysplastic pulmonary valve and massively dilated branch pulmonary arteries.	肺动脉瓣缺失	指肺动脉瓣严重发育不良及肺动脉严重扩张形成的畸形。
心血管系统异常	HP:0005135	EKG: T-wave abnormalities	An abnormality of the T wave on the electrocardiogram, which mainly represents the repolarization of the ventricles.	心电图:T波异常	心电图上的T波异常，它主要表示心室复极化。
心血管系统异常,骨骼系统异常	HP:0005136	Premature calcification of mitral annulus	Early occurance of mitral annular calcification (MAC), which is a common degenerative process involving the fibrous annulus of the mitral valve, and is generally an incidental finding associated with aging.	二尖瓣环过早钙化	二尖瓣环钙化（MAC）是涉及二尖瓣纤维环的一个常见退行性变，通常在老龄人群中被偶然发现。如果过早出现，则为二尖瓣环过早钙化。
心血管系统异常	HP:0005141	Episodes of ventricular tachycardia	Episodes of ventricular tachycardia, which is an abnormally rapid ventricular rhythm with wide QRS complexes,usually in excess of 150 per minute. It is generated within the ventricle,below the BUNDLE OF HIS.	阵发性室性心动过速	室性心动过速是指起源于希氏束分叉处以下的频率在150/分以上的心动过速，伴有宽大畸形QRS波组成。不持续的、自发终止的室性心动过速即阵发性室性心动过速。
心血管系统异常,呼吸系统异常	HP:0005143	Anomalous origin of right pulmonary artery from ascending aorta	The right pulmonary artery originates from the ascending aorta in the presence of a pulmonary valve and main pulmonary artery.	升主动脉异常起源性右肺动脉	在肺动脉瓣和肺主动脉存在的情况下，右肺动脉异常起源于升主动脉。
心血管系统异常	HP:0005144	Left ventricular septal hypertrophy	A hypertrophy in left ventricular septal.	左心室室间隔肥厚	左心室室间隔肥厚
心血管系统异常	HP:0005145	Coronary artery stenosis	Reduction of the diameter of the coronary arteries.	冠状动脉狭窄	冠状动脉直径减小。
心血管系统异常,骨骼系统异常	HP:0005146	Cardiac valve calcification	Abnormal calcification of a `cardiac valve` (FMA:7110).	心脏瓣膜钙化	心脏瓣膜的异常钙化（FMA:7110）。
心血管系统异常	HP:0005147	Bidirectional ventricular ectopy	Bidirectional ventricular ectopy is a single form ventricular tachycardia，which appears two opposite forms of QRS waves in the seem lead and occurs in order.	双向心室异位	双向心室异位是一种单形性室性心动过速，发作时同一导联出现两种形态相反的QRS波并按顺序交替出现。
心血管系统异常	HP:0005148	Pulmonary valve defects	A defect happened on the valve situated at the entrance to the pulmonary trunk from the right ventricle.	肺动脉瓣缺陷	起源于右心室的肺动脉干入口位置的瓣膜发生缺陷。
心血管系统异常	HP:0005150	Abnormal atrioventricular conduction	Impairment of the electrical continuity between the atria and ventricles	房室传导异常	心房和心室之间电传导的异常。
心血管系统异常	HP:0005151	Preductal coarctation of the aorta	Narrowing or constriction of the aorta localized proximal to the ductus arteriosus.	导管前主动脉缩窄	在主动脉导管术后于导管近端主动脉发生狭窄或溢缩。
心血管系统异常	HP:0005152	Oncocytic cardiomyopathy	A type of cardiomyopathy with inc	嗜酸细胞性心肌病	以血液中嗜酸细胞增多为特征的一类心肌病。
心血管系统异常	HP:0005155	Ventricular escape rhythms	When the impulse from sinoatrial node or intra-atrial can not transmitted on time, the lower level of pacemaker atrioventricular transition area, should make atrioventricular transition zone from cardiac to control the ventricular.  If atrioventricular transition zone is also affected by the same reason and do not escape beat, the ventricular pacemaker impulse to control the ventricular, means ventricular escape. Three or more consecutive ventricular escape is ventricular escape arrhythm.	室性逸搏心律	当窦房结或心房内的激动由于某些原因不能按时下传，则下一级的起搏点房室交接区，应发出房室交接区逸搏来控制心室。如果房室交接区也受到与窦房结等相同原因的影响，不能发出逸搏时，则心室起搏点即发出激动来控制心室，形成室性逸搏。连续3个或3个以上的室性逸搏，即构成室性逸搏心律。
心血管系统异常	HP:0005156	Hypoplastic left atrium	Underdevelopment or incomplete development of left atrium.	左心房发育不全	左心房发育不全。
心血管系统异常	HP:0005157	Concentric hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy with an symmetrical and concentric pattern of hypertrophy.	向心性肥厚性心肌病	心肌呈对称、向心性肥厚的肥厚型心肌病。
心血管系统异常,呼吸系统异常	HP:0005160	Total anomalous pulmonary venous return	Total anomalous pulmonary venous return refers to a congenital malformation in which all four pulmonary veins do not connect normally to the left atrium, but instead drain abnormally to the right atrium.	全肺静脉回流异常	全肺静脉回流异常是一种先天性畸形，全部四个肺静脉没有连接到左心房，而是将所有血液流入到了右心房。
心血管系统异常	HP:0005162	Impaired left ventricular function	Impaired left ventricular function	左心室功能受损	左心室功能受损。
心血管系统异常	HP:0005164	Dysplastic pulmonary valve	Dysplastic of the pulmonary valve, which situated at the entrance to the pulmonary trunk from the right ventricle.	肺动脉瓣发育不良	肺动脉瓣是指右心房与肺动脉干间的瓣膜，该瓣膜发育不良即肺动脉瓣发育不良。
心血管系统异常	HP:0005165	Shortened PR interval	Reduced time for the  PR interval (beginning of the P wave to the beginning of the QRS complex). In adults, normal values are 120 to 200 ms long.	PR间期缩短	为PR间期时间减少（从P波起始处到QRS波群的开头）。在成人中，正常值为120〜200毫秒。
心血管系统异常	HP:0005168	Elevated right atrial pressure	Abnormal increase in right atrial pressure, which is the pressure of blood in the right atrium （RAP）of the heart. RAP reflects the amount of blood returning to the heart and the ability of the heart to pump the blood into the arterial system.	右心房压力升高	心脏右心房血液压力异常升高。右心房压力反映的是心脏回流血液量以及心脏泵血进入动脉系统的能力。
心血管系统异常	HP:0005170	Complete heart block with broad RS complexes	All impulse can not conduct from atrial to ventricle with broad RS complexes.	完全性心传导阻滞伴宽RS波群	全部心房冲动均不能传导至心室，伴随RS波群增宽。
心血管系统异常	HP:0005172	Left posterior fascicular block	Conduction block in the posterior division of the left bundle branch of the bundle of His.	左后分支传导阻滞	在希氏束左束支的后股传导阻滞。
心血管系统异常	HP:0005173	Calcific aortic valve stenosis	A type of aortic valve stenosis associated with calcification of the aortic heart valve.	钙化性主动脉瓣狭窄	伴随主动脉瓣钙化的主动脉瓣狭窄。
心血管系统异常	HP:0005174	Membranous subvalvular aortic stenosis	Subvalvular stenosis is caused by a diaphragm-like membrane. The stenosis is clinically manifested like any other form of aortic stenosis but is often associated with some aortic insufficiency.	膜性主动脉瓣下狭窄	瓣下狭窄是由一个隔板状膜引起的。患者临床表现与其它形式的主动脉狭窄相似，但往往与主动脉瓣关闭不全有关。
心血管系统异常	HP:0005176	Dysplastic aortic valve	Dysplastic of the aortic valve,which situated between the left ventricle and the ascending aorta which prevents backflow into the left ventricle.	主动脉瓣发育不良	主动脉瓣是指位于左心室和主动脉间的瓣膜，可阻止血液逆流回左心室，该瓣膜发育不良即主动脉瓣发育不良。
心血管系统异常	HP:0005177	Premature arteriosclerosis	Arteriosclerosis occuring at an age that is younger than usual.	早发性动脉粥样硬化	动脉粥样硬化发生的年龄早于正常水平。
心血管系统异常	HP:0005178	Complete heart block with narrow QRS complexes	All impulse can not conduct from atrial to ventricle with narrow QRS complexes.	完全性心脏传导阻滞伴窄QRS波	全部心房冲动均不能传导至心室，伴随QRS波群缩窄。
心血管系统异常	HP:0005180	Tricuspid regurgitation	A disorder in which tricuspid does not close tight enough. This problem causes blood to flow backward into the right upper heart chamber (atrium) when the right lower heart chamber (ventricle) contracts.	三尖瓣反流	三尖瓣在右心室收缩时关闭不充分导致血液回流（倒灌）入右心房的一类疾病。
心血管系统异常	HP:0005181	Premature coronary artery disease	Coronary artery disease occuring at an age that is younger than usual.	早发性冠心病	发生冠心病的年龄早于常见水平。
心血管系统异常	HP:0005182	Bicuspid pulmonary valve	The presence of a bicuspid `pulmonary valve` (FMA:7246).	二叶肺动脉瓣	肺动脉瓣有两个瓣膜。（FMA:7246）。
心血管系统异常	HP:0005183	Pericardial lymphangiectasia	Lymphangiectasia in pericardium.	心包淋巴管扩张	心包淋巴管扩张。
心血管系统异常	HP:0005184	Prolonged QTc interval	Increased time in the QTc interval.	QTc间期延长	QTc间期时间的延长。
心血管系统异常	HP:0005185	Global systolic dysfunction	Global systolic dysfunction	心脏收缩功能障碍	心脏收缩功能障碍。
骨骼系统异常	HP:0005186	Synovial hypertrophy	#####	滑膜肥厚	#####
骨骼系统异常	HP:0005187	Progressive joint destruction	#####	关节渐进性受损	#####
肢体异常,骨骼系统异常	HP:0005190	Proximal finger joint hyperextensibility	#####	近端指关节伸展过度	#####
肢体异常,骨骼系统异常	HP:0005191	Congenital knee dislocation	#####	先天性膝关节脱位	#####
骨骼系统异常	HP:0005193	Restricted large joint movement	#####	大关节运动受限	#####
肢体异常,骨骼系统异常	HP:0005194	Flattened metatarsal heads	Abnormally flat shape of the heads of the metatarsal bones.	扁平化跖骨头	异常扁平状的跖骨头。
骨骼系统异常	HP:0005195	Polyarticular arthropathy	#####	多关节病	#####
骨骼系统异常	HP:0005197	Generalized morning stiffness	A sensation of stiffness in the joints that occurs following waking up in the morning.	周身性晨僵	早晨醒来后关节僵硬的感觉。
